sold_price,zipcode,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,log_HOA,dishwasher,freezer,refrigerator,oven,garbage disposal,double sink,microwave,compactor,electric range,island,appliance color,gas range,prep sink,countertops granite,desk,lazy susan,pantry walk-in,pantry closet,pantry cabinet,mexican tile,wood,natural stone,other,ceramic tile,carpet,concrete,cbrt_acres,distance,lat_direction,lon_direction
1715000.0,85750,15580.64,2003,5,6.0,6238.0,3.0,1.0,5.39,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,5.04,1,1
1700000.0,85658,1795.34,2014,4,5.0,4724.0,3.0,3.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.95,24.06,1,0
1500000.0,85750,12870.0,1998,4,6.0,5838.0,3.0,1.0,4.49,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.01,6.25,1,1
1500000.0,85750,15541.0,2007,3,4.0,5112.0,4.0,2.0,3.93,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.94,7.72,1,1
1600000.0,85755,12718.0,2008,3,4.0,4411.0,2.0,3.0,5.04,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.01,19.01,1,0
1550000.0,85658,15981.8,2007,3,4.0,3670.0,3.0,3.0,4.85,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.27,21.81,1,0
1695000.0,85718,19110.45,2008,6,6.0,7855.0,3.0,3.0,5.2,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1.04,1.62,0,0
1645000.0,85718,13214.97,2011,6,5.0,5443.0,3.0,4.0,5.56,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0.99,3.86,1,1
1450000.0,85750,12737.71,1993,4,5.0,4897.0,3.0,2.0,4.86,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.87,7.28,1,1
1700000.0,85750,10061.0,1998,3,3.0,3871.0,3.0,3.0,4.77,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.78,6.78,1,1
